立案時間,派工項目,案件地址,經緯度,longitude,latitude
2017/10/5 21:28,交通號誌異常,中正區,"(25.0421407, 121.5198716)",25.0421407, 121.5198716
2017/10/5 21:50,鄰里無主垃圾清運,文山區忠順街一段60號,"(24.9842279, 121.5604613)",24.9842279, 121.5604613
2017/10/5 21:59,路燈故障或設施損壞,中山區,"(25.0792018, 121.5427093)",25.0792018, 121.5427093
2017/10/5 22:07,路燈故障或設施損壞,松山區105台灣台北市松山區汐止五股高架段,"(25.0717923, 121.5594175)",25.0717923, 121.5594175
2017/10/5 22:56,路燈故障或設施損壞,松山區105台灣台北市松山區塔悠路332號,"(25.0652939, 121.5677494)",25.0652939, 121.5677494
2017/10/5 23:18,鄰里無主垃圾清運,中正區汀州路路三段,"(25.0161185, 121.5307097)",25.0161185, 121.5307097
2017/10/6 04:13,路燈故障或設施損壞,中正區,"(25.0421407, 121.5198716)",25.0421407, 121.5198716
2017/10/6 06:32,路燈故障或設施損壞,北投區中山路,"(25.1374018, 121.5087935)",25.1374018, 121.5087935
2017/10/6 06:40,交通號誌電纜線垂落及設施損壞,大安區,"(25.0261583, 121.5427093)",25.0261583, 121.5427093
2017/10/6 08:02,交通標誌及設施物損壞(含汙損)、傾斜,中正區,"(25.0421407, 121.5198716)",25.0421407, 121.5198716
2017/10/6 08:22,交通號誌異常,北投區台北市北投區中和街249號,"(25.1396069, 121.50105)",25.1396069, 121.50105
2017/10/6 08:23,交通標誌及設施物損壞(含汙損)、傾斜,北投區台北市北投區中和街249號,"(25.1396069, 121.50105)",25.1396069, 121.50105
2017/10/6 08:28,交通號誌異常,北投區台北市北投區永興路一段1號,"(25.1388601, 121.4994013)",25.1388601, 121.4994013
2017/10/6 08:31,交通號誌異常,北投區台北市北投區大度路2號,"(25.1215309, 121.4984935)",25.1215309, 121.4984935
2017/10/6 08:33,交通號誌異常,北投區台北市北投區大度路2號,"(25.1215309, 121.4984935)",25.1215309, 121.4984935
2017/10/6 08:44,鄰里無主垃圾清運,士林區中社路二段46巷,"(25.1065273, 121.5627626)",25.1065273, 121.5627626
2017/10/6 08:58,交通號誌異常,北投區,"(25.1151759, 121.515018)",25.1151759, 121.515018
2017/10/6 08:52,鄰里無主垃圾清運,士林區中社路二段46巷,"(25.1065273, 121.5627626)",25.1065273, 121.5627626
2017/10/6 08:55,鄰里無主垃圾清運,大安區羅斯福路三段283巷,"(25.0197416, 121.5317501)",25.0197416, 121.5317501
2017/10/6 08:54,交通號誌異常,士林區天母北路66號,"(25.122062, 121.526474)",25.122062, 121.526474
2017/10/6 09:05,鄰里無主垃圾清運,南港區南港區興中路44巷2弄1號,"(25.0558262, 121.6068006)",25.0558262, 121.6068006
2017/10/6 09:10,交通號誌異常,北投區大度路一段,"(25.1216004, 121.4929283)",25.1216004, 121.4929283
2017/10/6 09:25,交通號誌異常,萬華區環河南路二段,"(25.0338422, 121.4930543)",25.0338422, 121.4930543
2017/10/6 09:24,鄰里無主垃圾清運,松山區富錦街,"(25.060629, 121.5591084)",25.060629, 121.5591084
2017/10/6 09:41,鄰里無主垃圾清運,士林區台北市士林區永公路350巷77號,"(25.1232192, 121.5654347)",25.1232192, 121.5654347
2017/10/6 09:44,路燈故障或設施損壞,大同區錦西街67號,"(25.0598227, 121.5155891)",25.0598227, 121.5155891
2017/10/6 09:47,鄰里無主垃圾清運,士林區士林區義信里小西街1-1號,"(25.088756, 121.5241452)",25.088756, 121.5241452
2017/10/6 09:49,鄰里無主垃圾清運,士林區士林小西街16號,"(25.088562, 121.523892)",25.088562, 121.523892
2017/10/11 17:30,鄰里無主垃圾清運,松山區,"(25.0541591, 121.5638621)",25.0541591, 121.5638621
2017/10/6 10:02,交通標誌及設施物損壞(含汙損)、傾斜,文山區臺北市文山區仙岩路16巷26弄8號,"(24.9983407, 121.5486359)",24.9983407, 121.5486359
2017/10/6 10:03,雨水下水道側溝清淤,大安區復興南路二段308巷,"(25.0235881, 121.5430679)",25.0235881, 121.5430679
2017/10/6 10:15,路燈故障或設施損壞,內湖區,"(25.0689422, 121.5909027)",25.0689422, 121.5909027
2017/10/6 10:29,路燈故障或設施損壞,士林區菁山路,"(25.1415371, 121.5585641)",25.1415371, 121.5585641
2017/10/6 10:42,鄰里無主垃圾清運,萬華區環河南路三段,"(25.0217338, 121.4920737)",25.0217338, 121.4920737
